path,yyyymmdd,status,rows
C:\Users\wyao2\Dropbox\2001\20010215.csv.gz,20010215,ok,3759
C:\Users\wyao2\Dropbox\2001\20010216.csv.gz,20010216,ok,3758
C:\Users\wyao2\Dropbox\2001\20010220.csv.gz,20010220,ok,3757
C:\Users\wyao2\Dropbox\2001\20010221.csv.gz,20010221,ok,3754
C:\Users\wyao2\Dropbox\2001\20010222.csv.gz,20010222,ok,3755
C:\Users\wyao2\Dropbox\2001\20010223.csv.gz,20010223,ok,3754
C:\Users\wyao2\Dropbox\2001\20010226.csv.gz,20010226,ok,3752
C:\Users\wyao2\Dropbox\2001\20010227.csv.gz,20010227,ok,3752
C:\Users\wyao2\Dropbox\2001\20010228.csv.gz,20010228,ok,3748
C:\Users\wyao2\Dropbox\2001\20010301.csv.gz,20010301,ok,3749
C:\Users\wyao2\Dropbox\2001\20010302.csv.gz,20010302,ok,3746
C:\Users\wyao2\Dropbox\2001\20010305.csv.gz,20010305,ok,3745
C:\Users\wyao2\Dropbox\2001\20010306.csv.gz,20010306,ok,3747
C:\Users\wyao2\Dropbox\2001\20010307.csv.gz,20010307,ok,3748
C:\Users\wyao2\Dropbox\2001\20010308.csv.gz,20010308,ok,3748
C:\Users\wyao2\Dropbox\2001\20010309.csv.gz,20010309,ok,3749
C:\Users\wyao2\Dropbox\2001\20010312.csv.gz,20010312,ok,3748
C:\Users\wyao2\Dropbox\2001\20010313.csv.gz,20010313,ok,3749
C:\Users\wyao2\Dropbox\2001\20010314.csv.gz,20010314,ok,3748
C:\Users\wyao2\Dropbox\2001\20010315.csv.gz,20010315,ok,3749
C:\Users\wyao2\Dropbox\2001\20010316.csv.gz,20010316,ok,3748
C:\Users\wyao2\Dropbox\2001\20010319.csv.gz,20010319,ok,3746
C:\Users\wyao2\Dropbox\2001\20010320.csv.gz,20010320,ok,3745
C:\Users\wyao2\Dropbox\2001\20010321.csv.gz,20010321,ok,3744
C:\Users\wyao2\Dropbox\2001\20010322.csv.gz,20010322,ok,3743
C:\Users\wyao2\Dropbox\2001\20010323.csv.gz,20010323,ok,3741
C:\Users\wyao2\Dropbox\2001\20010326.csv.gz,20010326,ok,3737
C:\Users\wyao2\Dropbox\2001\20010327.csv.gz,20010327,ok,3735
C:\Users\wyao2\Dropbox\2001\20010328.csv.gz,20010328,ok,3735
C:\Users\wyao2\Dropbox\2001\20010329.csv.gz,20010329,ok,3737
C:\Users\wyao2\Dropbox\2001\20010330.csv.gz,20010330,ok,3734
C:\Users\wyao2\Dropbox\2001\20010402.csv.gz,20010402,ok,3732
C:\Users\wyao2\Dropbox\2001\20010403.csv.gz,20010403,ok,3731
C:\Users\wyao2\Dropbox\2001\20010404.csv.gz,20010404,ok,3729
C:\Users\wyao2\Dropbox\2001\20010405.csv.gz,20010405,ok,3727
C:\Users\wyao2\Dropbox\2001\20010406.csv.gz,20010406,ok,3728
C:\Users\wyao2\Dropbox\2001\20010409.csv.gz,20010409,ok,3727
C:\Users\wyao2\Dropbox\2001\20010410.csv.gz,20010410,ok,3727
C:\Users\wyao2\Dropbox\2001\20010411.csv.gz,20010411,ok,3728
C:\Users\wyao2\Dropbox\2001\20010412.csv.gz,20010412,ok,3729
C:\Users\wyao2\Dropbox\2001\20010416.csv.gz,20010416,ok,3728
C:\Users\wyao2\Dropbox\2001\20010417.csv.gz,20010417,ok,3727
C:\Users\wyao2\Dropbox\2001\20010418.csv.gz,20010418,ok,3725
C:\Users\wyao2\Dropbox\2001\20010419.csv.gz,20010419,ok,3725
C:\Users\wyao2\Dropbox\2001\20010420.csv.gz,20010420,ok,3724
C:\Users\wyao2\Dropbox\2001\20010423.csv.gz,20010423,ok,3723
C:\Users\wyao2\Dropbox\2001\20010424.csv.gz,20010424,ok,3720
C:\Users\wyao2\Dropbox\2001\20010425.csv.gz,20010425,ok,3719
C:\Users\wyao2\Dropbox\2001\20010426.csv.gz,20010426,ok,3720
C:\Users\wyao2\Dropbox\2001\20010427.csv.gz,20010427,ok,3719
C:\Users\wyao2\Dropbox\2001\20010430.csv.gz,20010430,ok,3718
C:\Users\wyao2\Dropbox\2001\20010501.csv.gz,20010501,ok,3720
C:\Users\wyao2\Dropbox\2001\20010502.csv.gz,20010502,ok,3721
C:\Users\wyao2\Dropbox\2001\20010503.csv.gz,20010503,ok,3719
C:\Users\wyao2\Dropbox\2001\20010504.csv.gz,20010504,ok,3716
C:\Users\wyao2\Dropbox\2001\20010507.csv.gz,20010507,ok,3715
C:\Users\wyao2\Dropbox\2001\20010508.csv.gz,20010508,ok,3712
C:\Users\wyao2\Dropbox\2001\20010509.csv.gz,20010509,ok,3713
C:\Users\wyao2\Dropbox\2001\20010510.csv.gz,20010510,ok,3716
C:\Users\wyao2\Dropbox\2001\20010511.csv.gz,20010511,ok,3714
C:\Users\wyao2\Dropbox\2001\20010514.csv.gz,20010514,ok,3709
C:\Users\wyao2\Dropbox\2001\20010515.csv.gz,20010515,ok,3707
C:\Users\wyao2\Dropbox\2001\20010516.csv.gz,20010516,ok,3710
C:\Users\wyao2\Dropbox\2001\20010517.csv.gz,20010517,ok,3712
C:\Users\wyao2\Dropbox\2001\20010518.csv.gz,20010518,ok,3711
